,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,-additional
380,John Conner,24,NYJ,FB,16,8,5,2,9,4.5,0,1,20.0,9,0.1,0.6,40.0,1.8,0,,ConnJo00
381,Mike Cox,26,ATL,FB,9,5,3,2,8,4.0,0,0,0.0,8,0.2,0.9,66.7,2.7,1,,Cox_Mi20
382,Jeff Cumberland,24,NYJ,TE,3,0,5,2,35,17.5,0,1,20.0,33,0.7,11.7,40.0,7.0,0,,CumbJe00
383,Ryan D'Imperio,24,MIN,LB,12,1,6,2,7,3.5,0,1,16.7,6,0.2,0.6,33.3,1.2,0,,DImpRy00
384,Jim Dray,24,ARI,TE,10,0,5,2,25,12.5,0,1,20.0,20,0.2,2.5,40.0,5.0,0,,DrayJi00
385,Clyde Gates,25,MIA,WR,15,0,0,2,19,9.5,0,1,,11,0.1,1.3,,,0,,GateCl00
386,Daniel Graham,33,TEN,TE,16,7,5,2,25,12.5,1,2,40.0,21,0.1,1.6,40.0,5.0,0,,GrahDa00
387,Anthony Hill,26,IND,TE,7,2,3,2,10,5.0,0,0,0.0,5,0.3,1.4,66.7,3.3,0,,HillAn00
388,Taiwan Jones,23,OAK,RB,10,0,3,2,25,12.5,0,1,33.3,30,0.2,2.5,66.7,8.3,0,,JoneTa00
389,Ricardo Lockette,25,SEA,WR,2,0,4,2,105,52.5,1,2,50.0,61,1.0,52.5,50.0,26.3,0,,LockRi00
390,Montell Owens,27,JAX,RB,13,0,3,2,2,1.0,0,0,0.0,6,0.2,0.2,66.7,0.7,0,PB,OwenMo01
391,Niles Paul,22,WAS,WR,13,2,5,2,25,12.5,0,2,40.0,14,0.2,1.9,40.0,5.0,0,,PaulNi00
392,Taylor Price,24,2TM,WR,5,0,4,2,39,19.5,0,2,50.0,21,0.4,7.8,50.0,9.8,0,,PricTa00
392,Taylor Price,24,NWE,WR,3,0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,PricTa00
392,Taylor Price,24,JAX,WR,2,0,3,2,39,19.5,0,2,66.7,21,1.0,19.5,66.7,13.0,0,,PricTa00
393,Da'Rel Scott,23,NYG,RB,11,0,2,2,13,6.5,0,0,50.0,9,0.2,1.2,100.0,6.5,1,,ScotDa01
394,Cecil Shorts,24,JAX,WR,10,0,12,2,30,15.0,1,2,16.7,25,0.2,3.0,16.7,2.5,0,,ShorCe00
395,Stephen Spach,29,STL,TE,10,1,3,2,2,1.0,0,0,0.0,3,0.2,0.2,66.7,0.7,0,,SpacSt00
396,Micheal Spurlock,28,TAM,WR,12,0,6,2,13,6.5,0,0,0.0,7,0.2,1.1,33.3,2.2,0,,SpurMi00
397,Brett Swain,26,SFO,WR,5,1,7,2,15,7.5,0,1,14.3,9,0.4,3.0,28.6,2.1,0,,SwaiBr00
398,Phillip Tanner,23,DAL,RB,9,0,2,2,19,9.5,0,2,100.0,11,0.2,2.1,100.0,9.5,0,,TannPh00
399,Chauncey Washington,26,DAL,RB,2,0,3,2,13,6.5,0,1,33.3,15,1.0,6.5,66.7,4.3,0,,WashCh00
400,D.J. Williams,23,GNB,TE,13,0,4,2,13,6.5,0,0,0.0,7,0.2,1.0,50.0,3.3,0,,WillD.00
401,Seyi Ajirotutu,24,CAR,WR,14,0,2,1,4,4.0,0,1,50.0,4,0.1,0.3,50.0,2.0,0,,AjirSe00
402,Eugene Amano,29,TEN,C,16,16,1,1,7,7.0,0,0,0.0,7,0.1,0.4,100.0,7.0,0,,AmanEu20
403,Emmanuel Arceneaux,24,MIN,WR,3,0,2,1,10,10.0,0,1,50.0,10,0.3,3.3,50.0,5.0,0,,ArceEm00
404,Brandon Banks,24,WAS,WR,16,0,1,1,10,10.0,0,1,100.0,10,0.1,0.6,100.0,10.0,7,,BankBr00
405,Aaron Brown,26,DET,RB,1,0,1,1,9,9.0,0,0,0.0,9,1.0,9.0,100.0,9.0,0,,BrowAa00
406,Matt Cassel,29,KAN,QB,9,9,1,1,-4,-4.0,0,0,0.0,-4,0.1,-0.4,100.0,-4.0,5,,CassMa00
407,Shaun Chapas,23,DAL,RB,3,0,1,1,9,9.0,0,0,0.0,9,0.3,3.0,100.0,9.0,0,,ChapSh00
408,Thomas Clayton,27,CLE,RB,3,0,1,1,3,3.0,0,0,0.0,3,0.3,1.0,100.0,3.0,0,,ClayTh00
409,Anthony Dixon,24,SFO,RB,16,0,1,1,6,6.0,0,0,0.0,6,0.1,0.4,100.0,6.0,0,,DixoAn00
410,Jonathan Dwyer,22,PIT,RB,7,0,1,1,6,6.0,0,0,0.0,6,0.1,0.9,100.0,6.0,0,,DwyeJo00
411,Joe Flacco,26,BAL,QB,16,16,1,1,-8,-8.0,0,0,0.0,-8,0.1,-0.5,100.0,-8.0,11,,FlacJo00
412,Mike Goodson,24,CAR,RB,4,0,3,1,4,4.0,0,0,0.0,4,0.3,1.0,33.3,1.3,0,,GoodMi00
413,Richard Gordon,24,OAK,TE,14,1,1,1,2,2.0,0,0,0.0,2,0.1,0.1,100.0,2.0,0,,GordRi00
414,Garrett Graham,25,HOU,TE,7,0,2,1,24,24.0,0,1,50.0,24,0.1,3.4,50.0,12.0,0,,GrahGa00
415,Alex Green,23,GNB,RB,4,0,1,1,6,6.0,0,1,100.0,6,0.3,1.5,100.0,6.0,0,,GreeAl00
416,DuJuan Harris,23,JAX,RB,5,0,2,1,4,4.0,0,0,0.0,4,0.2,0.8,50.0,2.0,0,,HarrDu01
417,Jerome Harrison,28,DET,RB,4,0,2,1,3,3.0,0,0,0.0,3,0.3,0.8,50.0,1.5,0,,HarrJe00
418,Michael Higgins,24,NOR,TE,2,0,1,1,4,4.0,0,0,0.0,4,0.5,2.0,100.0,4.0,0,,HiggMi00
419,Reggie Kelly,34,ATL,TE,16,2,2,1,7,7.0,0,0,0.0,7,0.1,0.4,50.0,3.5,0,,KellRe00
420,Jim Kleinsasser,34,MIN,TE,16,11,6,1,4,4.0,0,0,0.0,4,0.1,0.3,16.7,0.7,0,,KleiJi00
421,Dion Lewis,21,PHI,RB,15,0,1,1,-3,-3.0,0,0,0.0,-3,0.1,-0.2,100.0,-3.0,1,,LewiDi00
422,Stefan Logan,30,DET,RB,16,1,1,1,19,19.0,0,1,100.0,19,0.1,1.2,100.0,19.0,6,,LogaSt00
423,Ryan Mahaffey,24,IND,RB,5,0,1,1,5,5.0,0,1,100.0,5,0.2,1.0,100.0,5.0,0,,MahaRy00
424,Steve Maneri,23,KAN,T,6,1,2,1,1,1.0,0,0,0.0,1,0.2,0.2,50.0,0.5,0,,ManeSt00
425,Jeron Mastrud,24,MIA,TE,14,3,2,1,8,8.0,0,1,50.0,8,0.1,0.6,50.0,4.0,0,,MastJe20
426,Reagan Maui'a,27,ARI,RB,3,3,1,1,12,12.0,0,1,100.0,12,0.3,4.0,100.0,12.0,0,,MauiRe00
427,Colt McCoy,25,CLE,QB,13,13,1,1,-5,-5.0,0,0,0.0,-5,0.1,-0.4,100.0,-5.0,11,,McCoCo00
428,Corey McIntyre,32,BUF,FB,16,1,1,1,4,4.0,0,0,0.0,4,0.1,0.3,100.0,4.0,0,,McInCo00
429,Nick Miller,24,STL,WR,6,0,1,1,8,8.0,0,0,0.0,8,0.2,1.3,100.0,8.0,0,,MillNi00
430,Ryan Mundy,26,PIT,DB,16,0,1,1,33,33.0,0,1,100.0,33,0.1,2.1,100.0,33.0,0,,MundRy00
431,Cam Newton,22,CAR,QB,16,16,1,1,27,27.0,0,1,100.0,27,0.1,1.7,100.0,27.0,5,PBAP ORoY-1,NewtCa00
432,Roscoe Parrish,29,BUF,WR,2,2,4,1,16,16.0,0,1,25.0,16,0.5,8.0,25.0,4.0,0,,ParrRo00
433,Justin Peelle,32,SFO,TE,14,2,4,1,19,19.0,0,1,25.0,19,0.1,1.4,25.0,4.8,0,,PeelJu00
434,Patrick Peterson,21,ARI,RCB,16,16,1,1,-1,-1.0,0,0,0.0,-1,0.1,-0.1,100.0,-1.0,4,PBAP-1,PetePa00
435,Bilal Powell,23,NYJ,RB,2,0,1,1,7,7.0,0,0,0.0,7,0.5,3.5,100.0,7.0,1,,PoweBi00
436,Allen Reisner,23,MIN,TE,6,0,1,1,5,5.0,0,1,100.0,5,0.2,0.8,100.0,5.0,0,,ReisAl00
437,Mike Sellers,36,WAS,FB,12,0,2,1,15,15.0,0,1,50.0,15,0.1,1.3,50.0,7.5,0,,SellMi00
438,Matthew Slater,26,NWE,WR,16,3,3,1,46,46.0,0,1,33.3,46,0.1,2.9,33.3,15.3,1,PB,SlatMa00
439,Matt Slauson,25,NYJ,LG,16,16,1,1,1,1.0,0,0,0.0,1,0.1,0.1,100.0,1.0,0,,SlauMa20
440,Isaac Sopoaga,30,SFO,NT,15,15,1,1,18,18.0,0,1,100.0,18,0.1,1.2,100.0,18.0,0,,SopoIs20
441,Kory Sperry,26,SDG,TE,16,4,5,1,32,32.0,0,1,20.0,32,0.1,2.0,20.0,6.4,0,,SperKo00
442,Joe Staley,27,SFO,LT,16,16,1,1,17,17.0,0,1,100.0,17,0.1,1.1,100.0,17.0,0,PBAP-2,StalJo20
443,Brandon Stokley,35,NYG,WR,2,0,3,1,7,7.0,0,0,0.0,7,0.5,3.5,33.3,2.3,0,,StokBr00
444,Maurice Stovall,26,DET,WR,15,0,3,1,8,8.0,0,1,33.3,8,0.1,0.5,33.3,2.7,0,,StovMa00
445,Ryan Taylor,24,GNB,TE,15,0,1,1,4,4.0,1,1,100.0,4,0.1,0.3,100.0,4.0,0,,TaylRy00
446,Julius Thomas,23,DEN,TE,5,1,7,1,5,5.0,0,0,0.0,5,0.2,1.0,14.3,0.7,0,,ThomJu00
447,Seneca Wallace,31,CLE,QB,6,3,1,1,21,21.0,0,1,100.0,21,0.2,3.5,100.0,21.0,1,,WallSe00
448,Joe Webb,25,MIN,QB,11,1,5,1,9,9.0,0,0,0.0,9,0.1,0.8,20.0,1.8,1,,WebbJo00
449,Guy Whimper,28,JAX,RT,15,15,1,1,17,17.0,0,1,100.0,17,0.1,1.1,100.0,17.0,0,,WhimGu20
450,Johnny White,23,BUF,RB,12,0,4,1,-3,-3.0,0,0,0.0,-3,0.1,-0.3,25.0,-0.8,0,,WhitJo01
451,Eddie Williams,24,SEA,RB,3,0,1,1,17,17.0,0,1,100.0,17,0.3,5.7,100.0,17.0,0,,WillEd00
452,Anthony Allen,23,BAL,RB,5,0,0,0,0,,0,0,,,0.0,0.0,,,0,,AlleAn01
453,Armando Allen,22,CHI,RB,2,0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,AlleAr00
454,Colt Anderson,26,PHI,DB,12,0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,AndeCo01
455,Derek Anderson,28,CAR,QB,2,0,0,0,0,,0,0,,,0.0,0.0,,,0,,AndeDe00
456,Javier Arenas,24,KAN,DB,15,1,0,0,0,,0,0,,,0.0,0.0,,,1,,ArenJa99
457,Richard Bartel,28,ARI,QB,2,0,0,0,0,,0,0,,,0.0,0.0,,,0,,BartRi00
458,Charlie Batch,37,PIT,QB,4,1,0,0,0,,0,0,,,0.0,0.0,,,0,,BatcCh00
459,Arnaz Battle,31,PIT,WR,10,0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,BattAr00
460,John Beck,30,WAS,QB,4,3,0,0,0,,0,0,,,0.0,0.0,,,3,,BeckJo00
461,Kyle Boller,30,OAK,QB,2,1,0,0,0,,0,0,,,0.0,0.0,,,3,,BollKy00
462,Allen Bradford,23,TAM,RB,1,0,0,0,0,,0,0,,,0.0,0.0,,,0,,BradAl00
463,Sam Bradford,24,STL,QB,10,10,0,0,0,,0,0,,,0.0,0.0,,,10,,BradSa00
464,Tom Brady,34,NWE,QB,16,16,0,0,0,,0,0,,,0.0,0.0,,,6,PB,BradTo00
465,Drew Brees,32,NOR,QB,16,16,0,0,0,,0,0,,,0.0,0.0,,,1,PBAP-2AP MVP-2AP OPoY-1,BreeDr00
466,Ronnie Brown,30,PHI,RB,16,2,2,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,1,,BrowRo05
467,Jason Campbell,29,OAK,QB,6,6,0,0,0,,0,0,,,0.0,0.0,,,3,,CampJa00
468,John Clay,23,PIT,RB,2,0,0,0,0,,0,0,,,0.0,0.0,,,0,,ClayJo00
469,Michael Clayton,29,NYG,WR,5,0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,ClayMi00
470,Kellen Clemens,28,STL,QB,3,3,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,2,,ClemKe00
471,Kerry Collins,39,IND,QB,3,3,0,0,0,,0,0,,,0.0,0.0,,,4,,CollKe00
472,Dustin Colquitt,29,KAN,P,16,0,0,0,0,,0,0,,,0.0,0.0,,,1,,ColqDu20
473,Antonio Cromartie,27,NYJ,RCB,16,16,0,0,0,,0,0,,,0.0,0.0,,,2,,CromAn20
474,Jay Cutler,28,CHI,QB,10,10,0,0,0,,0,0,,,0.0,0.0,,,7,,CutlJa00
475,Andy Dalton,24,CIN,QB,16,16,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,4,PBAP ORoY-2,DaltAn00
476,Chase Daniel,25,NOR,QB,16,0,0,0,0,,0,0,,,0.0,0.0,,,0,,DaniCh00
477,Tandon Doss,22,BAL,WR,6,0,2,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,DossTa00
478,Armanti Edwards,23,CAR,QB,16,0,0,0,0,,0,0,,,0.0,0.0,,,0,,EdwaAr00
479,A.J. Feeley,34,STL,QB,5,3,0,0,0,,0,0,,,0.0,0.0,,,3,,FeelA.00
480,Ryan Fitzpatrick,29,BUF,QB,16,16,0,0,0,,0,0,,,0.0,0.0,,,7,,FitzRy00
481,Dane Fletcher,25,NWE,RLB,10,5,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,FletDa00
482,Matt Flynn,26,GNB,QB,5,1,0,0,0,,0,0,,,0.0,0.0,,,1,,FlynMa00
483,Collin Franklin,23,TAM,WR,2,0,2,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,FranCo00
484,Josh Freeman,23,TAM,QB,15,15,1,0,-4,,0,0,0.0,-4,0.0,-0.3,0.0,-4.0,9,,FreeJo00
485,Blaine Gabbert,22,JAX,QB,15,14,0,0,0,,0,0,,,0.0,0.0,,,14,,GabbBl00
486,Anthony Gonzalez,27,IND,WR,8,0,2,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,GonzAn00
487,Richard Goodman,24,SDG,WR,16,0,2,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,GoodRi00
488,Bruce Gradkowski,28,CIN,QB,2,0,0,0,0,,0,0,,,0.0,0.0,,,0,,GradBr00
489,Rex Grossman,31,WAS,QB,13,13,0,0,0,,0,0,,,0.0,0.0,,,8,,GrosRe00
490,Caleb Hanie,26,CHI,QB,6,4,0,0,0,,0,0,,,0.0,0.0,,,1,,HaniCa00
491,Nick Harris,33,JAX,P,11,0,0,0,0,,0,0,,,0.0,0.0,,,0,,HarrNi20
492,Matt Hasselbeck,36,TEN,QB,16,16,0,0,0,,0,0,,,0.0,0.0,,,4,,HassMa00
493,Joe Hastings,24,SFO,WR,1,0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,HastJo00
494,Chad Henne,26,MIA,QB,4,4,0,0,0,,0,0,,,0.0,0.0,,,1,,HennCh01
495,Shaun Hill,31,DET,QB,2,0,0,0,0,,0,0,,,0.0,0.0,,,0,,HillSh00
496,Russ Hochstein,34,DEN,G,15,0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,HochRu20
497,Jeremy Horne,25,KAN,WR,9,0,2,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,HornJe00
498,Brian Hoyer,26,NWE,QB,3,0,0,0,0,,0,0,,,0.0,0.0,,,0,,HoyeBr00
499,Chris Ivory,23,NOR,RB,6,2,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,IvorCh00
500,Tarvaris Jackson,28,SEA,QB,15,14,0,0,0,,0,0,,,0.0,0.0,,,9,,JackTa00
501,Jerrel Jernigan,22,NYG,WR,8,0,2,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,JernJe00
502,Josh Johnson,25,TAM,QB,9,1,2,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,1,,JohnJo05
503,Larry Johnson,32,MIA,RB,1,0,0,0,0,,0,0,,,0.0,0.0,,,0,,JohnLa00
504,Donnie Jones,31,STL,P,16,0,0,0,0,,0,0,,,0.0,0.0,,,0,,JoneDo21
505,Colin Kaepernick,24,SFO,QB,3,0,0,0,0,,0,0,,,0.0,0.0,,,0,,KaepCo00
506,Mike Kafka,24,PHI,QB,4,0,0,0,0,,0,0,,,0.0,0.0,,,0,,KafkMi00
507,Brett Kern,25,TEN,P,16,0,0,0,0,,0,0,,,0.0,0.0,,,0,,KernBr20
508,Jon Kitna,39,DAL,QB,3,0,0,0,0,,0,0,,,0.0,0.0,,,0,,KitnJo00
509,Chris Kluwe,30,MIN,P,16,0,0,0,0,,0,0,,,0.0,0.0,,,1,,KluwCh20
510,Kevin Kolb,27,ARI,QB,9,9,0,0,0,,0,0,,,0.0,0.0,,,8,,KolbKe00
511,Andy Lee,29,SFO,P,16,0,0,0,0,,0,0,,,0.0,0.0,,,0,PBAP-1,LeexAn20
512,Matt Leinart,28,HOU,QB,2,1,0,0,0,,0,0,,,0.0,0.0,,,0,,LeinMa00
513,Jake Locker,23,TEN,QB,5,0,0,0,0,,0,0,,,0.0,0.0,,,0,,LockJa00
514,J.P. Losman,30,MIA,QB,2,0,0,0,0,,0,0,,,0.0,0.0,,,1,,LosmJ.00
515,Alex Mack,26,CLE,C,16,16,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,MackAl20
516,Jeff Maehl,22,HOU,WR,3,0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,MaehJe00
517,Logan Mankins,29,NWE,LG,15,15,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,PBAP-2,MankLo20
518,Eli Manning,30,NYG,QB,16,16,0,0,0,,0,0,,,0.0,0.0,,,8,PBAP CPoY-6,MannEl00
519,Tim Masthay,24,GNB,P,16,0,0,0,0,,0,0,,,0.0,0.0,,,2,,MastTi99
520,Josh McCown,32,CHI,QB,3,2,0,0,0,,0,0,,,0.0,0.0,,,2,,McCoJo01
521,Luke McCown,30,JAX,QB,4,2,0,0,0,,0,0,,,0.0,0.0,,,2,,McCoLu00
522,Stephen McGee,26,DAL,QB,1,0,0,0,0,,0,0,,,0.0,0.0,,,0,,McGeSt00
523,Donovan McNabb,35,MIN,QB,6,6,0,0,0,,0,0,,,0.0,0.0,,,2,,McNaDo00
524,Kerry Meier,25,ATL,WR,12,0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,MeieKe00
525,Matt Moore,27,MIA,QB,13,12,0,0,0,,0,0,,,0.0,0.0,,,14,,MoorMa01
526,Jamar Newsome,24,JAX,WR,2,0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,NewsJa00
527,Jerious Norwood,28,STL,RB,9,0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,NorwJe00
528,Fendi Onobun,25,JAX,TE,1,0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,OnobFe00
529,Dan Orlovsky,28,IND,QB,8,5,0,0,0,,0,0,,,0.0,0.0,,,7,,OrloDa00
530,Kyle Orton,29,2TM,QB,9,8,0,0,0,,0,0,,,0.0,0.0,,,2,,OrtoKy00
530,Kyle Orton,29,DEN,QB,5,5,0,0,0,,0,0,,,0.0,0.0,,,2,,OrtoKy00
530,Kyle Orton,29,KAN,QB,4,3,0,0,0,,0,0,,,0.0,0.0,,,0,,OrtoKy00
531,Michael Otto,28,TEN,T,15,1,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,OttoMi20
532,Curtis Painter,26,IND,QB,9,8,0,0,0,,0,0,,,0.0,0.0,,,5,,PainCu00
533,Tyler Palko,28,KAN,QB,6,4,0,0,0,,0,0,,,0.0,0.0,,,1,,PalkTy00
534,Carson Palmer,32,OAK,QB,10,9,0,0,0,,0,0,,,0.0,0.0,,,2,,PalmCa00
535,Cedric Peerman,25,CIN,RB,15,0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,PeerCe00
536,Donald Penn,28,TAM,LT,16,16,1,0,2,,0,0,0.0,2,0.0,0.1,0.0,2.0,0,,PennDo20
537,Christian Ponder,23,MIN,QB,11,10,0,0,0,,0,0,,,0.0,0.0,,,6,,PondCh00
538,Quinn Porter,25,STL,RB,12,0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,1,,PortQu00
539,B.J. Raji,25,GNB,NT,16,16,0,0,0,,0,0,,,0.0,0.0,,,0,PB,RajiBJ99
540,Chris Redman,34,ATL,QB,5,0,0,0,0,,0,0,,,0.0,0.0,,,0,,RedmCh00
541,David Reed,24,BAL,WR,11,0,2,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,3,,ReedDa00
542,Philip Rivers,30,SDG,QB,16,16,0,0,0,,0,0,,,0.0,0.0,,,9,PB,RivePh00
543,Aaron Rodgers,28,GNB,QB,15,15,0,0,0,,0,0,,,0.0,0.0,,,4,PBAP-1AP MVP-1AP OPoY-2,RodgAa00
544,Ben Roethlisberger,29,PIT,QB,15,15,0,0,0,,0,0,,,0.0,0.0,,,8,PB,RoetBe00
545,Tony Romo,31,DAL,QB,16,16,0,0,0,,0,0,,,0.0,0.0,,,6,,RomoTo00
546,Martin Rucker,26,JAX,TE,1,0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,RuckMa00
547,Matt Ryan,26,ATL,QB,16,16,0,0,0,,0,0,,,0.0,0.0,,,5,,RyanMa00
548,Mark Sanchez,25,NYJ,QB,16,16,0,0,0,,0,0,,,0.0,0.0,,,10,,SancMa00
549,Matt Schaub,30,HOU,QB,10,10,0,0,0,,0,0,,,0.0,0.0,,,3,,SchaMa00
550,John Skelton,23,ARI,QB,8,7,0,0,0,,0,0,,,0.0,0.0,,,4,,SkelJo00
551,Alex Smith,27,SFO,QB,16,16,0,0,0,,0,0,,,0.0,0.0,,,7,AP CPoY-3,SmitAl03
552,Armond Smith,25,CLE,RB,3,0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,SmitAr00
553,Matthew Stafford,23,DET,QB,16,16,0,0,0,,0,0,,,0.0,0.0,,,5,AP CPoY-1,StafMa00
554,Craig Steltz,25,CHI,SS,16,5,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,StelCr99
555,Tyrod Taylor,22,BAL,QB,3,0,0,0,0,,0,0,,,0.0,0.0,,,0,,TaylTy00
556,Tim Tebow,24,DEN,QB,14,11,0,0,0,,0,0,,,0.0,0.0,,,13,,TeboTi00
557,Tyler Thigpen,27,BUF,QB,3,0,0,0,0,,0,0,,,0.0,0.0,,,0,,ThigTy00
558,Matt Turk,43,JAX,P,5,0,0,0,0,,0,0,,,0.0,0.0,,,1,,TurkMa20
559,Josh Vaughan,25,CAR,RB,7,0,0,0,0,,0,0,,,0.0,0.0,,,0,,VaugJo01
560,Shane Vereen,22,NWE,RB,5,0,0,0,0,,0,0,,,0.0,0.0,,,0,,VereSh00
561,Michael Vick,31,PHI,QB,13,13,0,0,0,,0,0,,,0.0,0.0,,,10,,VickMi00
562,Billy Volek,35,SDG,QB,2,0,0,0,0,,0,0,,,0.0,0.0,,,0,,VoleBi00
563,Derrick Ward,31,HOU,RB,12,1,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,WardDe01
564,Steve Weatherford,29,NYG,P,16,0,0,0,0,,0,0,,,0.0,0.0,,,0,,WeatSt20
565,Eric Weddle,26,SDG,FS,16,16,0,0,0,,0,0,,,0.0,0.0,,,0,PBAP-1,WeddEr99
566,Charlie Whitehurst,29,SEA,QB,3,2,0,0,0,,0,0,,,0.0,0.0,,,2,,WhitCh02
567,George Wilson,30,BUF,SS,13,13,0,0,0,,0,0,,,0.0,0.0,,,0,,WilsGe01
568,T.J. Yates,24,HOU,QB,6,5,0,0,0,,0,0,,,0.0,0.0,,,5,,YateT.00
569,Will Yeatman,23,MIA,TE,3,2,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,YeatWi00
570,Vince Young,28,PHI,QB,6,3,0,0,0,,0,0,,,0.0,0.0,,,2,,YounVi00
,League Average,,,,,,,,,,,,47.7,,1.5,18.6,60.9,7.3,,,-9999
